,ObjectTable,us_node_id,us_node_id_flag,link_suffix,link_suffix_flag,ds_node_id,ds_node_id_flag,link_type,link_type_flag,asset_id,asset_id_flag,sewer_reference,sewer_reference_flag,system_type,system_type_flag,branch_id,branch_id_flag,point_array,is_merged,asset_uid,x0,y0
52,hw_conduit,30-474071,,1,,30-474072,,Cond,,5960,,,,sanitary,,,,"{2296506.2348767863586545,144980.2957848999358248,2296505.4853126262314618,144950.6170431398204528}",,,2296506.2348767863586545,144980.2957848999358248
53,hw_conduit,30-474072,,1,,30-474037,,Cond,,12451,,,,sanitary,,,,"{2296505.4853126262314618,144950.6170431398204528,2296504.3221958260983229,144911.8038111396308523}",,,2296505.4853126262314618,144950.6170431398204528
54,hw_conduit,30-474080,,1,,30-474065,,Cond,,5928,,,,sanitary,,,,"{2295972.8757809437811375,145067.3138684202567674,2296038.1450433442369103,145058.0725457802473102}",,,2295972.8757809437811375,145067.3138684202567674
55,hw_conduit,30-474087,,1,,30-474068,,Cond,,17142,,,,sanitary,,,,"{2296201.5454582246020436,145034.4580591001431458,2296307.1850843853317201,145018.9730608600657433}",,,2296201.5454582246020436,145034.4580591001431458
56,hw_conduit,30-476016,,1,,30-474080,,Cond,,5924,,,,sanitary,,,,"{2295903.4961991040036082,145077.6813356203201693,2295972.8757809437811375,145067.3138684202567674}",,,2295903.4961991040036082,145077.6813356203201693
57,hw_conduit,30-476039,,1,,30-476016,,Cond,,5920,,,,sanitary,,,,"{2295802.9046400631777942,145094.4007129003875889,2295903.4961991040036082,145077.6813356203201693}",,,2295802.9046400631777942,145094.4007129003875889
58,hw_conduit,30-478001,,1,,30-478002,,Cond,,4910,,,,sanitary,,,,"{2295812.2036918234080076,146093.5489508243626915,2295809.7234427835792303,146014.3616060240601655}",,,2295812.2036918234080076,146093.5489508243626915
59,hw_conduit,30-478002,,1,,30-478007,,Cond,,4916,,,,sanitary,,,,"{2295809.7234427835792303,146014.3616060240601655,2295808.3208141434006393,145980.6740432239312213}",,,2295809.7234427835792303,146014.3616060240601655
60,hw_conduit,30-478006,,1,,30-478007,,Cond,,5020,,,,sanitary,,,,"{2295714.4685659832321107,145966.617703543859534,2295808.3208141434006393,145980.6740432239312213}",,,2295714.4685659832321107,145966.617703543859534
61,hw_conduit,30-478007,,1,,30-478008,,Cond,,4915,,,,sanitary,,,,"{2295808.3208141434006393,145980.6740432239312213,2295844.9646931034512818,145986.616393543954473}",,,2295808.3208141434006393,145980.6740432239312213
62,hw_conduit,30-478008,,1,,30-478027,,Cond,,5023,,,,sanitary,,,,"{2295844.9646931034512818,145986.616393543954473,2295964.8475623042322695,146057.4327721042209305}",,,2295844.9646931034512818,145986.616393543954473
63,hw_conduit,30-478027,,1,,30-478028,,Cond,,5022,,,,sanitary,,,,"{2295964.8475623042322695,146057.4327721042209305,2296059.1963906241580844,146066.6069777842494659}",,,2295964.8475623042322695,146057.4327721042209305
64,hw_conduit,30-478028,,1,,30-478029,,Cond,,4902,,,,sanitary,,,,"{2296059.1963906241580844,146066.6069777842494659,2296119.4671159046702087,146106.1368555444350932}",,,2296059.1963906241580844,146066.6069777842494659
65,hw_conduit,30-478029,,1,,30-478043,,Cond,,12872,,,,sanitary,,,,"{2296119.4671159046702087,146106.1368555444350932,2296125.1583110243082047,146109.9837363444385119}",,,2296119.4671159046702087,146106.1368555444350932
66,hw_conduit,30-478043,,1,,30-478047,,Cond,,4906,,,,sanitary,,,,"{2296125.1583110243082047,146109.9837363444385119,2296195.7300875848159194,146052.7002339442260563}",,,2296125.1583110243082047,146109.9837363444385119
67,hw_conduit,30-478047,,1,,30-478048,,Cond,,15497,,,,sanitary,,,,"{2296195.7300875848159194,146052.7002339442260563,2296244.3743235450237989,146082.1062101843126584}",,,2296195.7300875848159194,146052.7002339442260563
68,hw_conduit,30-478048,,1,,30-478074,,Cond,,4892,,,,sanitary,,,,"{2296244.3743235450237989,146082.1062101843126584,2296280.9789595054462552,146104.2791605044330936}",,,2296244.3743235450237989,146082.1062101843126584
69,hw_conduit,30-478059,,1,,33-478007,,Cond,,4870,,,,sanitary,,,,"{2296595.239829586353153,146183.6016231447283644,2296708.2384250271134079,146161.1866921046457719}",,,2296595.239829586353153,146183.6016231447283644
70,hw_conduit,30-478060,,1,,30-478059,,Cond,,4856,,,,sanitary,,,,"{2296546.8540335460565984,146191.5658033047802746,2296595.239829586353153,146183.6016231447283644}",,,2296546.8540335460565984,146191.5658033047802746
71,hw_conduit,30-478061,,1,,30-478060,,Cond,,4855,,,,sanitary,,,,"{2296519.3196512260474265,146196.4855191448004916,2296546.8540335460565984,146191.5658033047802746}",,,2296519.3196512260474265,146196.4855191448004916
72,hw_conduit,30-478063,,1,,30-478061,,Cond,,4859,,,,sanitary,,,,"{2296476.8928780658170581,146171.6062801046937238,2296519.3196512260474265,146196.4855191448004916}",,,2296476.8928780658170581,146171.6062801046937238
73,hw_conduit,30-478064,,1,,30-478063,,Cond,,4873,,,,sanitary,,,,"{2296445.2829235061071813,146153.0302136246173177,2296476.8928780658170581,146171.6062801046937238}",,,2296445.2829235061071813,146153.0302136246173177
74,hw_conduit,30-478066,,1,,30-478064,,Cond,,4878,,,,sanitary,,,,"{2296387.3994223056361079,146119.9214050644950476,2296445.2829235061071813,146153.0302136246173177}",,,2296387.3994223056361079,146119.9214050644950476
75,hw_conduit,30-478068,,1,,30-478066,,Cond,,4884,,,,sanitary,,,,"{2296338.9016884653829038,146112.9241724244493525,2296387.3994223056361079,146119.9214050644950476}",,,2296338.9016884653829038,146112.9241724244493525
76,hw_conduit,30-478074,,1,,30-478068,,Cond,,4887,,,,sanitary,,,,"{2296280.9789595054462552,146104.2791605044330936,2296338.9016884653829038,146112.9241724244493525}",,,2296280.9789595054462552,146104.2791605044330936
77,hw_conduit,33-470001,,1,,I33-470901,,Cond,,FM90006,,,,sanitary,,,,"{2296660.7603995865210891,143809.2910961752349976,2296666.1804446266032755,143809.0053461752249859}",,,2296660.7603995865210891,143809.2910961752349976
78,hw_conduit,33-470003,,1,,33-470002,,Cond,,14949,,,,sanitary,,,,"{2296648.1718852669000626,143793.7302332151739392,2296656.5146575067192316,143804.0428668952372391}",,,2296648.1718852669000626,143793.7302332151739392
79,hw_conduit,33-472011,,1,,33-472015,,Cond,,6936,,,,sanitary,,,,"{2296746.8115051072090864,144018.3815187360742129,2296820.6441539875231683,144111.6020079364534467}",,,2296746.8115051072090864,144018.3815187360742129
80,hw_conduit,33-472015,,1,,33-472040,,Cond,,6929,,,,sanitary,,,,"{2296820.6441539875231683,144111.6020079364534467,2296850.6914294273592532,144136.753921056544641}",,,2296820.6441539875231683,144111.6020079364534467
